id_observation,observation_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,Height (cm),Width (cm),Date Of Measurement,picture_Plot,picture_Experiment,notes_Plot,audio
89_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,89,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,48,7/19/2022,,,,
90_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,90,4,ACRE-Biomass,Late,y22,width-height,sampling-1,41,43,7/19/2022,,,,
90_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,90,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,47,7/19/2022,,,,
90_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,90,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,45,7/19/2022,,,,
90_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,90,4,ACRE-Biomass,Late,y22,width-height,sampling-1,31,43,7/19/2022,,,,
91_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,91,4,ACRE-Biomass,Late,y22,width-height,sampling-1,32,53,7/19/2022,,,,
91_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,91,4,ACRE-Biomass,Late,y22,width-height,sampling-1,30,51,7/19/2022,,,,
91_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,91,4,ACRE-Biomass,Late,y22,width-height,sampling-1,42,52,7/19/2022,,,,
91_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,91,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,40,7/19/2022,,,,
92_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,92,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,44,7/19/2022,,,,
92_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,92,4,ACRE-Biomass,Late,y22,width-height,sampling-1,31,47,7/19/2022,,,,
92_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,92,4,ACRE-Biomass,Late,y22,width-height,sampling-1,41,44,7/19/2022,,,,
92_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,92,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,44,7/19/2022,,,,
93_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,93,4,ACRE-Biomass,Late,y22,width-height,sampling-1,32,41,7/19/2022,,,,
93_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,93,4,ACRE-Biomass,Late,y22,width-height,sampling-1,38,39,7/19/2022,,,,
93_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,93,4,ACRE-Biomass,Late,y22,width-height,sampling-1,29,41,7/19/2022,,,,
93_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,93,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,38,7/19/2022,,,,
94_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,94,4,ACRE-Biomass,Late,y22,width-height,sampling-1,32,37,7/19/2022,,,,
94_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,94,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,38,7/19/2022,,,,
94_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,94,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,41,7/19/2022,,,,
94_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,94,4,ACRE-Biomass,Late,y22,width-height,sampling-1,34,40,7/19/2022,,,,
95_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,95,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,46,7/19/2022,,,,
95_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,95,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,41,7/19/2022,,,,
95_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,95,4,ACRE-Biomass,Late,y22,width-height,sampling-1,42,46,7/19/2022,,,,
95_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,95,4,ACRE-Biomass,Late,y22,width-height,sampling-1,41,32,7/19/2022,,,,
96_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,96,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,31,7/19/2022,,,,
96_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,96,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,40,7/19/2022,,,,
96_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,96,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,42,7/19/2022,,,,
96_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,96,4,ACRE-Biomass,Late,y22,width-height,sampling-1,42,38,7/19/2022,,,,
97_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,97,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,44,7/19/2022,,,,
97_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,97,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,53,7/19/2022,,,,
97_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,97,4,ACRE-Biomass,Late,y22,width-height,sampling-1,44,52,7/19/2022,,,,
97_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,97,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,51,7/19/2022,,,,
98_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,98,4,ACRE-Biomass,Late,y22,width-height,sampling-1,38,39,7/19/2022,,,,
98_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,98,4,ACRE-Biomass,Late,y22,width-height,sampling-1,38,43,7/19/2022,,,,
98_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,98,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,48,7/19/2022,,,,
98_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,98,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,44,7/19/2022,,,,
99_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,99,4,ACRE-Biomass,Late,y22,width-height,sampling-1,30,42,7/19/2022,,,,
99_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,99,4,ACRE-Biomass,Late,y22,width-height,sampling-1,42,49,7/19/2022,,,,
99_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,99,4,ACRE-Biomass,Late,y22,width-height,sampling-1,44,53,7/19/2022,,,,
99_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,99,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,42,7/19/2022,,,,
100_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,100,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,33,7/19/2022,,,,
100_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,100,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,39,7/19/2022,,,,
100_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,100,4,ACRE-Biomass,Late,y22,width-height,sampling-1,43,37,7/19/2022,,,,
100_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,100,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,44,7/19/2022,,,,
